
Frequency vs.Mode No.
21:25, Wednesday, March 20, 2019


X Title: Mode No.
Y Title: Frequency (Hz)

Point, X, Y1 (Natural Frequency)
1, 1           ,546.75      ,
2, 2           ,1093.9      ,
3, 3           ,1133.5      ,
4, 4           ,2167.4      ,
5, 5           ,2300.2      ,
6, 6           ,2808        ,
7, 7           ,3543.5      ,
8, 8           ,3718.7      ,
9, 9           ,4289.4      ,
10, 10          ,4674.1      ,
11, 11          ,5228.8      ,
12, 12          ,5497.1      ,
13, 13          ,6607.1      ,
14, 14          ,7084.4      ,
15, 15          ,7259.4      ,
16, 16          ,7505.2      ,
17, 17          ,8181.5      ,
18, 18          ,9008.9      ,
19, 19          ,9471.1      ,
20, 20          ,9616        ,
